stage,progress,timesteps,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,upright_ratio,rms_angle_deg,rms_cart_position_m,rms_force_n
random,0.0,0,9.419145678945785,52.86914393778918,6.773333333333333,0.0,nan,0.0,0.0,165.75717370683103,1.0621919573475889,2.576011847667901
25_percent,0.25,100000,336.7393742504185,494.2860630581617,20.0,0.3333333333333333,10.34,0.08333333333333333,0.1685,153.05354660177196,0.43404755727302446,1.9119820102012024
50_percent,0.5,200000,1617.013726825381,122.85880045065366,20.0,1.0,3.6283333333333334,0.9166666666666666,0.8408333333333333,52.69439792386797,0.32529539076273445,2.6847317215848725
75_percent,0.75,300000,1592.9033145168212,212.72900589741658,20.0,1.0,2.3283333333333336,0.75,0.9029166666666667,36.77481190224574,0.41815525753314997,2.757520307325324
100_percent,1.0,400000,1705.6867494912588,191.4637372713354,20.0,1.0,2.1383333333333336,1.0,0.91525,35.3192712088351,0.33993550272947637,2.502252850730327
